NextCell: x = 10, y = 2
NextCell: x = 9, y = 2
NextCell: x = 9, y = 3
NextCell: x = 9, y = 4
NextCell: x = 9, y = 5
NextCell: x = 8, y = 5
NextCell: x = 7, y = 5
NextCell: x = 6, y = 5
NextCell: x = 5, y = 5
NextCell: x = 5, y = 5
NextCell: x = 5, y = 5
NextCell: x = 4, y = 5
NextCell: x = 4, y = 6
NextCell: x = 4, y = 6
NextCell: x = 4, y = 6
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
NextCell: x = 4, y = 7
